id,date,x_s,UTM_E,UTM_N
usa_NC_0035_0069,08-Dec-2019,14012.8980602088,458197.136940754,3937270.82651216
usa_NC_0035_0068,08-Dec-2019,14005.9186830647,458199.946023003,3937221.15090099
usa_NC_0035_0067,08-Dec-2019,14001.656025364,458205.532891814,3937171.43846483
usa_NC_0035_0066,08-Dec-2019,13995.1886480078,458208.838584537,3937121.89052207
usa_NC_0035_0065,08-Dec-2019,13990.1123761102,458213.615668364,3937072.07842847
usa_NC_0035_0064,08-Dec-2019,13984.4629007632,458217.851454409,3937022.04995729
usa_NC_0035_0063,08-Dec-2019,13979.0791002471,458222.364721447,3936971.98868812
usa_NC_0035_0062,08-Dec-2019,13971.3718592421,458224.482780828,3936922.0566999
usa_NC_0035_0061,08-Dec-2019,13964.6299809849,458227.599898656,3936872.05159364
usa_NC_0035_0060,08-Dec-2019,13957.8560877544,458230.686661582,3936822.03501237
usa_NC_0035_0059,08-Dec-2019,13951.1460432839,458233.842089961,3936772.00064343
usa_NC_0035_0058,08-Dec-2019,13945.1674031103,458237.756094072,3936721.90265969
usa_NC_0035_0057,08-Dec-2019,13938.8440551364,458241.31690551,3936671.81303389
usa_NC_0035_0056,08-Dec-2019,13926.4406380782,458238.594251555,3936622.13974971
usa_NC_0035_0055,08-Dec-2019,13911.7224116421,458233.477358588,3936572.63494625
usa_NC_0035_0054,08-Dec-2019,13896.2011069583,458227.529176277,3936523.19186939
usa_NC_0035_0053,08-Dec-2019,13874.0584054667,458214.73164516,3936474.23446394
usa_NC_0035_0052,08-Dec-2019,13850.9115019415,458200.892046292,3936425.36720231
usa_NC_0035_0051,08-Dec-2019,13834.7320506313,458194.260284955,3936375.98628518
usa_NC_0035_0050,08-Dec-2019,13822.6033539027,458191.821464153,3936326.29457638
usa_NC_0035_0049,08-Dec-2019,13812.6759173783,458191.663092007,3936276.42435989
usa_NC_0035_0048,08-Dec-2019,13804.1113972015,458192.918328029,3936226.43530225
usa_NC_0035_0047,08-Dec-2019,13794.8187482511,458193.42142887,3936176.49434447
usa_NC_0035_0046,08-Dec-2019,13789.5025387765,458198.047975848,3936126.21111807
usa_NC_0035_0045,08-Dec-2019,13779.30751603,458197.595734594,3936076.44595742
usa_NC_0035_0044,08-Dec-2019,13766.3571009017,458194.275829439,3936026.97004162
usa_NC_0035_0043,08-Dec-2019,13755.7424405365,458193.377357378,3935977.29644652
usa_NC_0035_0042,08-Dec-2019,13747.9632110041,458195.423836113,3935927.35529495
usa_NC_0035_0041,08-Dec-2019,13736.6313955091,458193.78604296,3935877.72167512
usa_NC_0035_0040,08-Dec-2019,13722.7268855573,458189.478436973,3935828.3195433
usa_NC_0035_0039,08-Dec-2019,13712.8770884943,458189.387286245,3935778.50914383
usa_NC_0035_0038,08-Dec-2019,13709.3946535657,458195.923516462,3935728.02746581
usa_NC_0035_0037,08-Dec-2019,13701.122139728,458197.486414457,3935677.98895107
usa_NC_0035_0036,08-Dec-2019,13687.1198237299,458193.091099066,3935628.52661548
usa_NC_0035_0035,08-Dec-2019,13670.6417133979,458186.118483731,3935579.32731005
usa_NC_0035_0034,08-Dec-2019,13651.5395846604,458176.410683824,3935530.42471531
usa_NC_0035_0033,08-Dec-2019,13628.742124333,458162.847307393,3935481.95844977
usa_NC_0035_0032,08-Dec-2019,13611.4463053279,458155.014229914,3935432.89219897
usa_NC_0035_0031,08-Dec-2019,13596.5428614095,458149.675199616,3935383.5538318
usa_NC_0035_0030,08-Dec-2019,13585.4352515898,458148.298474568,3935333.7579203
usa_NC_0035_0029,08-Dec-2019,13575.8907699098,458148.557826536,3935283.7515929
usa_NC_0035_0028,08-Dec-2019,13564.2137161173,458146.603838424,3935233.93847331
usa_NC_0035_0027,08-Dec-2019,13555.851625148,458148.125458964,3935183.64938665
usa_NC_0035_0026,08-Dec-2019,13547.9918079298,458150.176801251,3935133.27263224
usa_NC_0035_0025,08-Dec-2019,13534.7550996627,458146.610552503,3935083.56846968
usa_NC_0035_0024,08-Dec-2019,13515.1200162692,458136.352571353,3935034.69935554
usa_NC_0035_0023,08-Dec-2019,13493.1961135859,458123.689645623,3934986.18493221
usa_NC_0035_0022,08-Dec-2019,13467.815726551,458107.387394156,3934938.24354944
usa_NC_0035_0021,08-Dec-2019,13449.4245950488,458098.395683798,3934889.38581313
usa_NC_0035_0020,08-Dec-2019,13433.6492402846,458092.142396189,3934840.1731013
usa_NC_0035_0019,08-Dec-2019,13420.8639053973,458089.025128825,3934790.52556564
usa_NC_0035_0018,08-Dec-2019,13411.4810683062,458089.481054431,3934740.36043248
usa_NC_0035_0017,08-Dec-2019,13410.4310063215,458098.703694262,3934688.84810599
usa_NC_0035_0016,08-Dec-2019,13399.8812492269,458097.975613609,3934638.65303001
usa_NC_0035_0015,08-Dec-2019,13388.1354742162,458095.995935037,3934588.61776952
usa_NC_0035_0014,08-Dec-2019,13371.5714757262,458088.959232359,3934539.30086734
usa_NC_0035_0013,08-Dec-2019,13350.7748892391,458077.476159901,3934490.6350595
usa_NC_0035_0012,08-Dec-2019,13321.6498335414,458057.238264052,3934443.27891311
usa_NC_0035_0011,08-Dec-2019,13308.5796265557,458053.869969797,3934393.43381966
usa_NC_0035_0010,08-Dec-2019,13290.3682763031,458045.098084805,3934344.39347422
usa_NC_0035_0009,08-Dec-2019,13270.9831256047,458035.090794724,3934295.5452919
usa_NC_0035_0008,08-Dec-2019,13233.8129479936,458006.368815464,3934249.58993156
usa_NC_0035_0007,08-Dec-2019,13206.7781143456,457988.301487294,3934202.03850101
usa_NC_0035_0006,08-Dec-2019,13201.0919000332,457992.688423407,3934151.06612813
usa_NC_0035_0005,08-Dec-2019,13184.9320847629,457986.041961009,3934101.85898937
usa_NC_0035_0004,08-Dec-2019,13159.7164473267,457969.851322036,3934054.19982397
usa_NC_0035_0003,08-Dec-2019,13144.3842057468,457964.072375194,3934004.8746769
usa_NC_0035_0002,08-Dec-2019,13128.4829598322,457957.694876939,3933955.64110021
usa_NC_0035_0001,08-Dec-2019,13112.0676235973,457950.775914419,3933906.49365161
usa_NC_0034_0250,08-Dec-2019,13097.7015873455,457946.021627406,3933856.97156756
usa_NC_0034_0249,08-Dec-2019,13086.7074262302,457944.8325131,3933806.81574552
usa_NC_0034_0248,08-Dec-2019,13079.0400580009,457947.16673214,3933756.00549665
usa_NC_0034_0247,08-Dec-2019,13056.590474069,457933.879982343,3933707.93020858
usa_NC_0034_0246,08-Dec-2019,13024.3177804421,457910.195667402,3933661.75786433
usa_NC_0034_0245,08-Dec-2019,12992.3508319552,457886.84385438,3933615.48186794
usa_NC_0034_0244,08-Dec-2019,12969.7449113755,457873.402578191,3933567.38205356
usa_NC_0034_0243,08-Dec-2019,12950.6872708421,457863.716692766,3933518.59682759
usa_NC_0034_0242,08-Dec-2019,12933.2697777913,457855.768149664,3933469.48746974
usa_NC_0034_0241,08-Dec-2019,12914.5971835137,457846.490271453,3933420.62543298
usa_NC_0034_0240,08-Dec-2019,12895.5783475188,457836.84529663,3933371.83350659
usa_NC_0034_0239,08-Dec-2019,12876.4376490991,457827.070819118,3933323.06775853
usa_NC_0034_0238,08-Dec-2019,12861.2987894168,457821.541015073,3933273.48269525
usa_NC_0034_0237,08-Dec-2019,12847.6776153947,457817.631177685,3933223.53593134
usa_NC_0034_0236,08-Dec-2019,12834.542913723,457814.242437842,3933173.46401898
usa_NC_0034_0235,08-Dec-2019,12817.3186680342,457806.515234094,3933124.23319717
usa_NC_0034_0234,08-Dec-2019,12803.9562400849,457802.889613294,3933074.18456823
usa_NC_0034_0233,08-Dec-2019,12793.3317485101,457802.17503519,3933023.54052735
usa_NC_0034_0232,08-Dec-2019,12780.634713341,457799.262937964,3932973.31686434
usa_NC_0034_0231,08-Dec-2019,12764.8734232459,457793.096121609,3932923.74319439
usa_NC_0034_0230,08-Dec-2019,12750.0009588735,457787.875456175,3932873.97058338
usa_NC_0034_0229,08-Dec-2019,12736.4774212846,457784.092157704,3932823.88884026
usa_NC_0034_0228,08-Dec-2019,12716.6826512626,457773.642956086,3932775.1617347
