angle_rad,angle_deg,wave_pdf,wave_cdf
-1.56206968053493,-89.5,0,0
-1.54461638801498,-88.5,0,0
-1.52716309549504,-87.5,0,0
-1.5097098029751,-86.5,0,0
-1.49225651045515,-85.5,0,0
-1.47480321793521,-84.5,0,0
-1.45734992541527,-83.5,0,0
-1.43989663289532,-82.5,4.14158502553675e-07,4.14158502553675e-07
-1.42244334037538,-81.5,1.24575783098201e-07,5.38734285651876e-07
-1.40499004785544,-80.5,8.36827093664361e-08,6.22416995018312e-07
-1.38753675533549,-79.5,0,6.22416995018312e-07
-1.37008346281555,-78.5,7.95095330069807e-08,7.01926528025293e-07
-1.35263017029561,-77.5,1.46128325393656e-07,8.48054853418949e-07
-1.33517687777566,-76.5,4.09456271080152e-06,4.94261756422047e-06
-1.31772358525572,-75.5,4.42322883029429e-06,9.36584639451476e-06
-1.30027029273578,-74.5,5.74522686119363e-06,1.51110732557084e-05
-1.28281700021583,-73.5,7.82309501410089e-06,2.29341682698093e-05
-1.26536370769589,-72.5,2.21001126040164e-05,4.50342808738257e-05
-1.24791041517595,-71.5,3.20295879360816e-05,7.70638688099073e-05
-1.230457122656,-70.5,5.03956715208313e-05,0.000127459540330739
-1.21300383013606,-69.5,6.09909588395377e-05,0.000188450499170276
-1.19555053761612,-68.5,0.00011323050189501,0.000301681001065286
-1.17809724509617,-67.5,0.000129313413469601,0.000430994414534887
-1.16064395257623,-66.5,0.000191239128819016,0.000622233543353903
-1.14319066005629,-65.5,0.000260604159607085,0.000882837702960988
-1.12573736753634,-64.5,0.000281869954850512,0.0011647076578115
-1.1082840750164,-63.5,0.000337635959055786,0.00150234361686729
-1.09083078249646,-62.5,0.000442440060702553,0.00194478367756984
-1.07337748997651,-61.5,0.000569338322434486,0.00251412200000432
-1.05592419745657,-60.5,0.000629688831663362,0.00314381083166769
-1.03847090493663,-59.5,0.000723737718850332,0.00386754855051802
-1.02101761241668,-58.5,0.000805741456800787,0.00467329000731881
-1.00356431989674,-57.5,0.000978894741935457,0.00565218474925426
-0.986111027376796,-56.5,0.00112729759579606,0.00677948234505032
-0.968657734856853,-55.5,0.00136191716571301,0.00814139951076333
-0.95120444233691,-54.5,0.00167531786340466,0.00981671737416799
-0.933751149816966,-53.5,0.0017820263787397,0.0115987437529077
-0.916297857297023,-52.5,0.00204724617585489,0.0136459899287626
-0.89884456477708,-51.5,0.00218136438065469,0.0158273543094173
-0.881391272257136,-50.5,0.00265525389346462,0.0184826082028819
-0.863937979737193,-49.5,0.00302595096345308,0.021508559166335
-0.84648468721725,-48.5,0.00336514287640131,0.0248737020427363
-0.829031394697307,-47.5,0.00356000624103211,0.0284337082837684
-0.811578102177363,-46.5,0.00405047471872928,0.0324841830024977
-0.79412480965742,-45.5,0.00434615781279859,0.0368303408152963
-0.776671517137477,-44.5,0.00486228519056175,0.041692626005858
-0.759218224617533,-43.5,0.00480552641794964,0.0464981524238076
-0.74176493209759,-42.5,0.00519848360273452,0.0516966360265422
-0.724311639577647,-41.5,0.0059652441809935,0.0576618802075357
-0.706858347057703,-40.5,0.00579693673472189,0.0634588169422576
-0.68940505453776,-39.5,0.00621848701308962,0.0696773039553472
-0.671951762017817,-38.5,0.00646895568666103,0.0761462596420082
-0.654498469497874,-37.5,0.00723303655919517,0.0833792962012034
-0.63704517697793,-36.5,0.00760077131536609,0.0909800675165695
-0.619591884457987,-35.5,0.00792203876094248,0.0989021062775119
