id,date_init,x_init,UTM_E_init,UTM_N_init,date_now,x_now,UTM_E_now,UTM_N_now,dx
usa_NC_0032_0019,01-Jan-1852,752.68476947767,452406.194879696,3898579.9073074,08-Dec-2019,406.684979987625,452030.923935149,3898692.15973802,-345.999789490045
usa_NC_0032_0020,01-Jan-1852,576.722805995814,452203.601360342,3898695.77283021,08-Dec-2019,425.223567173271,452039.122888251,3898745.73723973,-151.499238822543
usa_NC_0032_0021,01-Jan-1852,565.726405953763,452179.855712572,3898758.48690546,08-Dec-2019,442.184746453033,452045.596862161,3898799.897183,-123.54165950073
usa_NC_0032_0022,01-Jan-1852,560.736468974126,452162.570052287,3898819.52562233,08-Dec-2019,444.67455479972,452036.31421233,3898859.05729161,-116.061914174406
usa_NC_0032_0023,01-Jan-1852,552.152564415119,452141.309408234,3898882.11551868,08-Dec-2019,454.216424411636,452034.664931456,3898916.00601252,-97.9361400034829
usa_NC_0032_0024,01-Jan-1852,550.396626721875,452127.421636643,3898942.65402629,08-Dec-2019,466.050861347947,452035.483924217,3898972.30224772,-84.345765373928
usa_NC_0032_0025,01-Jan-1852,551.554940134756,452116.658474332,3899002.42814341,08-Dec-2019,490.406302126063,452049.938846485,3899024.25773938,-61.148638008693
usa_NC_0032_0026,01-Jan-1852,558.589062812363,452112.263815365,3899060.31795637,08-Dec-2019,513.402762376107,452062.9110565,3899076.69798056,-45.1863004362559
usa_NC_0032_0027,01-Jan-1852,853.32234264434,452423.064766006,3899009.06866106,08-Dec-2019,532.735530253984,452072.770980102,3899126.01631413,-320.586812390356
usa_NC_0032_0028,01-Jan-1852,577.256087652302,452110.543864867,3899164.18881552,08-Dec-2019,548.611043304991,452079.243522362,3899174.64293236,-28.645044347311
usa_NC_0032_0029,01-Jan-1852,589.87364890529,452113.455979878,3899214.00680963,08-Dec-2019,564.528922047801,452085.761066027,3899223.26055194,-25.344726857489
usa_NC_0032_0030,01-Jan-1852,606.961847543163,452121.251928268,3899262.19931751,08-Dec-2019,579.622729183917,452091.376803627,3899272.18565456,-27.339118359246
usa_NC_0032_0031,01-Jan-1852,957.541655528785,452493.484075582,3899188.52741062,08-Dec-2019,594.608062273423,452096.87266586,3899321.1570818,-362.933593255362
usa_NC_0032_0032,01-Jan-1852,996.148541023613,452524.804530307,3899228.810992,08-Dec-2019,610.157609326408,452102.983768467,3899369.92897414,-385.990931697205
usa_NC_0032_0033,01-Jan-1852,715.423126297956,452207.140365442,3899385.89283141,08-Dec-2019,631.774551469523,452115.724367187,3899416.48817849,-83.648574828433
usa_NC_0032_0034,01-Jan-1852,727.461116325514,452209.413988566,3899435.94834685,08-Dec-2019,657.354010784973,452132.794629409,3899461.60207567,-70.1071055405411
usa_NC_0032_0035,01-Jan-1852,660.962399700766,452125.818318867,3899514.92886214,08-Dec-2019,679.442292575812,452146.015406094,3899508.16368161,18.4798928750459
usa_NC_0032_0036,01-Jan-1860,1228.85227317738,452735.176078016,3899363.59205143,08-Dec-2019,700.521027164457,452157.734031145,3899557.09058503,-528.331246012923
usa_NC_0032_0037,01-Jan-1860,1255.56664350834,452753.071088279,3899410.37040206,08-Dec-2019,718.07766490713,452165.602718631,3899607.30966849,-537.48897860121
